STRUCT,SIZE,MEMBER,OFFSET_BYTES,OFFSET_HEX,BTF_EVIDENCE,DWARF_EVIDENCE,ZG3_VALUE_IF_PRESENT,MATCH_ZG3,NOTES
struct file_operations,288,unlocked_ioctl,80,0x50,BTF type_id=304 bits_offset=640,DWARF pahole -F btf -C file_operations,0x50,IDENTICAL,Matches ZG3 macro FOPS_IOCTL_OFF
struct file_operations,288,compat_ioctl,88,0x58,BTF type_id=304 bits_offset=704,DWARF pahole -F btf -C file_operations,0x58,IDENTICAL,Matches ZG3 macro FOPS_COMPAT_IOCTL_OFF
struct file_operations,288,mmap,96,0x60,BTF type_id=304 bits_offset=768,DWARF pahole -F btf -C file_operations,0x60,IDENTICAL,Matches ZG3 macro FOPS_MMAP_OFF
struct file_operations,288,mmap_supported_flags,104,0x68,BTF type_id=304 bits_offset=832,DWARF pahole -F btf -C file_operations,N/A,N/A,
struct file_operations,288,open,112,0x70,BTF type_id=304 bits_offset=896,DWARF pahole -F btf -C file_operations,0x70,IDENTICAL,Matches ZG3 macro FOPS_OPEN_OFF
struct file_operations,288,flush,120,0x78,BTF type_id=304 bits_offset=960,DWARF pahole -F btf -C file_operations,N/A,N/A,
struct file_operations,288,release,128,0x80,BTF type_id=304 bits_offset=1024,DWARF pahole -F btf -C file_operations,0x80,IDENTICAL,Matches ZG3 macro FOPS_RELEASE_OFF
struct file_operations,288,fsync,136,0x88,BTF type_id=304 bits_offset=1088,DWARF pahole -F btf -C file_operations,N/A,N/A,
struct file_operations,288,fasync,144,0x90,BTF type_id=304 bits_offset=1152,DWARF pahole -F btf -C file_operations,N/A,N/A,
struct file_operations,288,lock,152,0x98,BTF type_id=304 bits_offset=1216,DWARF pahole -F btf -C file_operations,N/A,N/A,
struct file_operations,288,sendpage,160,0xa0,BTF type_id=304 bits_offset=1280,DWARF pahole -F btf -C file_operations,N/A,N/A,
struct file_operations,288,get_unmapped_area,168,0xa8,BTF type_id=304 bits_offset=1344,DWARF pahole -F btf -C file_operations,N/A,N/A,
struct file_operations,288,check_flags,176,0xb0,BTF type_id=304 bits_offset=1408,DWARF pahole -F btf -C file_operations,N/A,N/A,
struct file_operations,288,flock,184,0xb8,BTF type_id=304 bits_offset=1472,DWARF pahole -F btf -C file_operations,N/A,N/A,
struct file_operations,288,splice_write,192,0xc0,BTF type_id=304 bits_offset=1536,DWARF pahole -F btf -C file_operations,N/A,N/A,
struct file_operations,288,splice_read,200,0xc8,BTF type_id=304 bits_offset=1600,DWARF pahole -F btf -C file_operations,0xc8,IDENTICAL,Matches ZG3 macro FOPS_SPLICE_READ_OFF
struct file_operations,288,setlease,208,0xd0,BTF type_id=304 bits_offset=1664,DWARF pahole -F btf -C file_operations,N/A,N/A,
struct file_operations,288,fallocate,216,0xd8,BTF type_id=304 bits_offset=1728,DWARF pahole -F btf -C file_operations,N/A,N/A,
struct file_operations,288,show_fdinfo,224,0xe0,BTF type_id=304 bits_offset=1792,DWARF pahole -F btf -C file_operations,0xe0,IDENTICAL,Matches ZG3 macro FOPS_SHOW_FDINFO_OFF
struct file_operations,288,copy_file_range,232,0xe8,BTF type_id=304 bits_offset=1856,DWARF pahole -F btf -C file_operations,N/A,N/A,
struct file_operations,288,remap_file_range,240,0xf0,BTF type_id=304 bits_offset=1920,DWARF pahole -F btf -C file_operations,N/A,N/A,
struct file_operations,288,fadvise,248,0xf8,BTF type_id=304 bits_offset=1984,DWARF pahole -F btf -C file_operations,N/A,N/A,
struct file_operations,288,android_kabi_reserved1,256,0x100,BTF type_id=304 bits_offset=2048,DWARF pahole -F btf -C file_operations,N/A,N/A,
struct file_operations,288,android_kabi_reserved2,264,0x108,BTF type_id=304 bits_offset=2112,DWARF pahole -F btf -C file_operations,N/A,N/A,
struct file_operations,288,android_kabi_reserved3,272,0x110,BTF type_id=304 bits_offset=2176,DWARF pahole -F btf -C file_operations,N/A,N/A,
struct file_operations,288,android_kabi_reserved4,280,0x118,BTF type_id=304 bits_offset=2240,DWARF pahole -F btf -C file_operations,N/A,N/A,
struct task_struct,4608,thread_info,0,0x0,BTF type_id=462 bits_offset=0,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,__state,40,0x28,BTF type_id=462 bits_offset=320,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,stack,48,0x30,BTF type_id=462 bits_offset=384,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,usage,56,0x38,BTF type_id=462 bits_offset=448,DWARF pahole -F btf -C task_struct,0x38,IDENTICAL,Matches ZG3 macro FAKE_TASK_USAGE_OFF
struct task_struct,4608,flags,60,0x3c,BTF type_id=462 bits_offset=480,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,ptrace,64,0x40,BTF type_id=462 bits_offset=512,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,on_cpu,68,0x44,BTF type_id=462 bits_offset=544,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,wake_entry,72,0x48,BTF type_id=462 bits_offset=576,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,cpu,88,0x58,BTF type_id=462 bits_offset=704,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,wakee_flips,92,0x5c,BTF type_id=462 bits_offset=736,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,wakee_flip_decay_ts,96,0x60,BTF type_id=462 bits_offset=768,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,last_wakee,104,0x68,BTF type_id=462 bits_offset=832,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,recent_used_cpu,112,0x70,BTF type_id=462 bits_offset=896,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,wake_cpu,116,0x74,BTF type_id=462 bits_offset=928,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,on_rq,120,0x78,BTF type_id=462 bits_offset=960,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,prio,124,0x7c,BTF type_id=462 bits_offset=992,DWARF pahole -F btf -C task_struct,0x7c,IDENTICAL,Matches ZG3 macro FAKE_TASK_PRIO_OFF
struct task_struct,4608,static_prio,128,0x80,BTF type_id=462 bits_offset=1024,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,normal_prio,132,0x84,BTF type_id=462 bits_offset=1056,DWARF pahole -F btf -C task_struct,0x84,IDENTICAL,Matches ZG3 macro FAKE_TASK_NORMAL_PRIO_OFF
struct task_struct,4608,rt_priority,136,0x88,BTF type_id=462 bits_offset=1088,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,sched_class,144,0x90,BTF type_id=462 bits_offset=1152,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,se,192,0xc0,BTF type_id=462 bits_offset=1536,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,rt,704,0x2c0,BTF type_id=462 bits_offset=5632,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,dl,784,0x310,BTF type_id=462 bits_offset=6272,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,sched_task_group,1024,0x400,BTF type_id=462 bits_offset=8192,DWARF pahole -F btf -C task_struct,0x400ULL,IDENTICAL,Matches ZG3 macro FAKE_TASK_TASK_GROUP_OFF
struct task_struct,4608,uclamp_req,1032,0x408,BTF type_id=462 bits_offset=8256,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,uclamp,1040,0x410,BTF type_id=462 bits_offset=8320,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,preempt_notifiers,1048,0x418,BTF type_id=462 bits_offset=8384,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,policy,1056,0x420,BTF type_id=462 bits_offset=8448,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,nr_cpus_allowed,1060,0x424,BTF type_id=462 bits_offset=8480,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,cpus_ptr,1064,0x428,BTF type_id=462 bits_offset=8512,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,user_cpus_ptr,1072,0x430,BTF type_id=462 bits_offset=8576,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,cpus_mask,1080,0x438,BTF type_id=462 bits_offset=8640,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,migration_pending,1088,0x440,BTF type_id=462 bits_offset=8704,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,migration_disabled,1096,0x448,BTF type_id=462 bits_offset=8768,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,migration_flags,1098,0x44a,BTF type_id=462 bits_offset=8784,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,rcu_read_lock_nesting,1100,0x44c,BTF type_id=462 bits_offset=8800,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,rcu_read_unlock_special,1104,0x450,BTF type_id=462 bits_offset=8832,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,rcu_node_entry,1112,0x458,BTF type_id=462 bits_offset=8896,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,rcu_blocked_node,1128,0x468,BTF type_id=462 bits_offset=9024,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,rcu_tasks_nvcsw,1136,0x470,BTF type_id=462 bits_offset=9088,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,rcu_tasks_holdout,1144,0x478,BTF type_id=462 bits_offset=9152,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,rcu_tasks_idx,1145,0x479,BTF type_id=462 bits_offset=9160,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,rcu_tasks_idle_cpu,1148,0x47c,BTF type_id=462 bits_offset=9184,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,rcu_tasks_holdout_list,1152,0x480,BTF type_id=462 bits_offset=9216,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,trc_reader_nesting,1168,0x490,BTF type_id=462 bits_offset=9344,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,trc_ipi_to_cpu,1172,0x494,BTF type_id=462 bits_offset=9376,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,trc_reader_special,1176,0x498,BTF type_id=462 bits_offset=9408,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,trc_reader_checked,1180,0x49c,BTF type_id=462 bits_offset=9440,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,trc_holdout_list,1184,0x4a0,BTF type_id=462 bits_offset=9472,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,sched_info,1200,0x4b0,BTF type_id=462 bits_offset=9600,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,tasks,1232,0x4d0,BTF type_id=462 bits_offset=9856,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,pushable_tasks,1248,0x4e0,BTF type_id=462 bits_offset=9984,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,pushable_dl_tasks,1288,0x508,BTF type_id=462 bits_offset=10304,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,mm,1312,0x520,BTF type_id=462 bits_offset=10496,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,active_mm,1320,0x528,BTF type_id=462 bits_offset=10560,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,vmacache,1328,0x530,BTF type_id=462 bits_offset=10624,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,rss_stat,1368,0x558,BTF type_id=462 bits_offset=10944,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,exit_state,1388,0x56c,BTF type_id=462 bits_offset=11104,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,exit_code,1392,0x570,BTF type_id=462 bits_offset=11136,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,exit_signal,1396,0x574,BTF type_id=462 bits_offset=11168,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,pdeath_signal,1400,0x578,BTF type_id=462 bits_offset=11200,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,jobctl,1408,0x580,BTF type_id=462 bits_offset=11264,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,personality,1416,0x588,BTF type_id=462 bits_offset=11328,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,sched_reset_on_fork,1420,0x58c,BTF type_id=462 bits_offset=11360,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,sched_contributes_to_load,1420,0x58c,BTF type_id=462 bits_offset=11361,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,sched_migrated,1420,0x58c,BTF type_id=462 bits_offset=11362,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,sched_psi_wake_requeue,1420,0x58c,BTF type_id=462 bits_offset=11363,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,sched_remote_wakeup,1424,0x590,BTF type_id=462 bits_offset=11392,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,in_execve,1424,0x590,BTF type_id=462 bits_offset=11393,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,in_iowait,1424,0x590,BTF type_id=462 bits_offset=11394,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,in_user_fault,1424,0x590,BTF type_id=462 bits_offset=11395,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,in_lru_fault,1424,0x590,BTF type_id=462 bits_offset=11396,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,no_cgroup_migration,1424,0x590,BTF type_id=462 bits_offset=11397,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,frozen,1424,0x590,BTF type_id=462 bits_offset=11398,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,use_memdelay,1424,0x590,BTF type_id=462 bits_offset=11399,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,in_memstall,1425,0x591,BTF type_id=462 bits_offset=11400,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,in_page_owner,1425,0x591,BTF type_id=462 bits_offset=11401,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,in_eventfd_signal,1425,0x591,BTF type_id=462 bits_offset=11402,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,atomic_flags,1432,0x598,BTF type_id=462 bits_offset=11456,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,restart_block,1440,0x5a0,BTF type_id=462 bits_offset=11520,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,pid,1496,0x5d8,BTF type_id=462 bits_offset=11968,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,tgid,1500,0x5dc,BTF type_id=462 bits_offset=12000,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,stack_canary,1504,0x5e0,BTF type_id=462 bits_offset=12032,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,real_parent,1512,0x5e8,BTF type_id=462 bits_offset=12096,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,parent,1520,0x5f0,BTF type_id=462 bits_offset=12160,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,children,1528,0x5f8,BTF type_id=462 bits_offset=12224,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,sibling,1544,0x608,BTF type_id=462 bits_offset=12352,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,group_leader,1560,0x618,BTF type_id=462 bits_offset=12480,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,ptraced,1568,0x620,BTF type_id=462 bits_offset=12544,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,ptrace_entry,1584,0x630,BTF type_id=462 bits_offset=12672,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,thread_pid,1600,0x640,BTF type_id=462 bits_offset=12800,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,pid_links,1608,0x648,BTF type_id=462 bits_offset=12864,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,thread_group,1672,0x688,BTF type_id=462 bits_offset=13376,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,thread_node,1688,0x698,BTF type_id=462 bits_offset=13504,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,vfork_done,1704,0x6a8,BTF type_id=462 bits_offset=13632,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,set_child_tid,1712,0x6b0,BTF type_id=462 bits_offset=13696,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,clear_child_tid,1720,0x6b8,BTF type_id=462 bits_offset=13760,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,pf_io_worker,1728,0x6c0,BTF type_id=462 bits_offset=13824,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,utime,1736,0x6c8,BTF type_id=462 bits_offset=13888,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,stime,1744,0x6d0,BTF type_id=462 bits_offset=13952,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,gtime,1752,0x6d8,BTF type_id=462 bits_offset=14016,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,time_in_state,1760,0x6e0,BTF type_id=462 bits_offset=14080,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,max_state,1768,0x6e8,BTF type_id=462 bits_offset=14144,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,prev_cputime,1776,0x6f0,BTF type_id=462 bits_offset=14208,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,nvcsw,1800,0x708,BTF type_id=462 bits_offset=14400,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,nivcsw,1808,0x710,BTF type_id=462 bits_offset=14464,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,start_time,1816,0x718,BTF type_id=462 bits_offset=14528,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,start_boottime,1824,0x720,BTF type_id=462 bits_offset=14592,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,min_flt,1832,0x728,BTF type_id=462 bits_offset=14656,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,maj_flt,1840,0x730,BTF type_id=462 bits_offset=14720,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,posix_cputimers,1848,0x738,BTF type_id=462 bits_offset=14784,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,ptracer_cred,1928,0x788,BTF type_id=462 bits_offset=15424,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,real_cred,1936,0x790,BTF type_id=462 bits_offset=15488,DWARF pahole -F btf -C task_struct,0x790ULL,IDENTICAL,Matches ZG3 macro TASK_STRUCT_REAL_CRED_OFF
struct task_struct,4608,cred,1944,0x798,BTF type_id=462 bits_offset=15552,DWARF pahole -F btf -C task_struct,0x798ULL,IDENTICAL,Matches ZG3 macro TASK_STRUCT_CRED_OFF
struct task_struct,4608,cached_requested_key,1952,0x7a0,BTF type_id=462 bits_offset=15616,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,comm,1960,0x7a8,BTF type_id=462 bits_offset=15680,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,nameidata,1976,0x7b8,BTF type_id=462 bits_offset=15808,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,last_switch_count,1984,0x7c0,BTF type_id=462 bits_offset=15872,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,last_switch_time,1992,0x7c8,BTF type_id=462 bits_offset=15936,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,fs,2000,0x7d0,BTF type_id=462 bits_offset=16000,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,files,2008,0x7d8,BTF type_id=462 bits_offset=16064,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,io_uring,2016,0x7e0,BTF type_id=462 bits_offset=16128,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,nsproxy,2024,0x7e8,BTF type_id=462 bits_offset=16192,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,signal,2032,0x7f0,BTF type_id=462 bits_offset=16256,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,sighand,2040,0x7f8,BTF type_id=462 bits_offset=16320,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,blocked,2048,0x800,BTF type_id=462 bits_offset=16384,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,real_blocked,2056,0x808,BTF type_id=462 bits_offset=16448,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,saved_sigmask,2064,0x810,BTF type_id=462 bits_offset=16512,DWARF pahole -F btf -C task_struct,N/A,N/A,
struct task_struct,4608,pending,2072,0x818,BTF type_id=462 bits_offset=16576,DWARF pahole -F btf -C task_struct,N/A,N/A,
