SLIDE,IN_FINGERPRINT_TABLE,STATICALLY_REACHABLE,EVIDENCE,CONFIDENCE,NOTES
0x028000,YES,UNKNOWN,Stock kernel: nokaslr; generic virtual offset and protocol physical base use 2 MiB alignment. P0 label uses 0x4000 oracle granularity; its bootloader mapping is absent.,HIGH,No observation. Retained static artifacts cannot convert fingerprint coverage into a bootloader distribution.
0x02c000,YES,UNKNOWN,Stock kernel: nokaslr; generic virtual offset and protocol physical base use 2 MiB alignment. P0 label uses 0x4000 oracle granularity; its bootloader mapping is absent.,HIGH,No observation. Retained static artifacts cannot convert fingerprint coverage into a bootloader distribution.
0x030000,YES,UNKNOWN,Stock kernel: nokaslr; generic virtual offset and protocol physical base use 2 MiB alignment. P0 label uses 0x4000 oracle granularity; its bootloader mapping is absent.,HIGH,No observation. Retained static artifacts cannot convert fingerprint coverage into a bootloader distribution.
0x034000,YES,UNKNOWN,Stock kernel: nokaslr; generic virtual offset and protocol physical base use 2 MiB alignment. P0 label uses 0x4000 oracle granularity; its bootloader mapping is absent.,HIGH,No observation. Retained static artifacts cannot convert fingerprint coverage into a bootloader distribution.
0x038000,YES,UNKNOWN,Stock kernel: nokaslr; generic virtual offset and protocol physical base use 2 MiB alignment. P0 label uses 0x4000 oracle granularity; its bootloader mapping is absent.,HIGH,No observation. Retained static artifacts cannot convert fingerprint coverage into a bootloader distribution.
0x03c000,YES,UNKNOWN,Stock kernel: nokaslr; generic virtual offset and protocol physical base use 2 MiB alignment. P0 label uses 0x4000 oracle granularity; its bootloader mapping is absent.,HIGH,No observation. Retained static artifacts cannot convert fingerprint coverage into a bootloader distribution.
0x040000,YES,UNKNOWN,Stock kernel: nokaslr; generic virtual offset and protocol physical base use 2 MiB alignment. P0 label uses 0x4000 oracle granularity; its bootloader mapping is absent.,HIGH,No observation. Retained static artifacts cannot convert fingerprint coverage into a bootloader distribution.
0x044000,YES,UNKNOWN,Stock kernel: nokaslr; generic virtual offset and protocol physical base use 2 MiB alignment. P0 label uses 0x4000 oracle granularity; its bootloader mapping is absent.,HIGH,No observation. Retained static artifacts cannot convert fingerprint coverage into a bootloader distribution.
0x048000,YES,UNKNOWN,Stock kernel: nokaslr; generic virtual offset and protocol physical base use 2 MiB alignment. P0 label uses 0x4000 oracle granularity; its bootloader mapping is absent.,HIGH,No observation. Retained static artifacts cannot convert fingerprint coverage into a bootloader distribution.
0x04c000,YES,UNKNOWN,Stock kernel: nokaslr; generic virtual offset and protocol physical base use 2 MiB alignment. P0 label uses 0x4000 oracle granularity; its bootloader mapping is absent.,HIGH,No observation. Retained static artifacts cannot convert fingerprint coverage into a bootloader distribution.
0x050000,YES,UNKNOWN,Stock kernel: nokaslr; generic virtual offset and protocol physical base use 2 MiB alignment. P0 label uses 0x4000 oracle granularity; its bootloader mapping is absent.,HIGH,No observation. Retained static artifacts cannot convert fingerprint coverage into a bootloader distribution.
0x054000,YES,UNKNOWN,Stock kernel: nokaslr; generic virtual offset and protocol physical base use 2 MiB alignment. P0 label uses 0x4000 oracle granularity; its bootloader mapping is absent.,HIGH,No observation. Retained static artifacts cannot convert fingerprint coverage into a bootloader distribution.
0x058000,YES,UNKNOWN,Stock kernel: nokaslr; generic virtual offset and protocol physical base use 2 MiB alignment. P0 label uses 0x4000 oracle granularity; its bootloader mapping is absent.,HIGH,No observation. Retained static artifacts cannot convert fingerprint coverage into a bootloader distribution.
0x05c000,YES,UNKNOWN,Stock kernel: nokaslr; generic virtual offset and protocol physical base use 2 MiB alignment. P0 label uses 0x4000 oracle granularity; its bootloader mapping is absent.,HIGH,No observation. Retained static artifacts cannot convert fingerprint coverage into a bootloader distribution.
0x060000,YES,UNKNOWN,Stock kernel: nokaslr; generic virtual offset and protocol physical base use 2 MiB alignment. P0 label uses 0x4000 oracle granularity; its bootloader mapping is absent.,HIGH,No observation. Retained static artifacts cannot convert fingerprint coverage into a bootloader distribution.
0x064000,YES,UNKNOWN,Stock kernel: nokaslr; generic virtual offset and protocol physical base use 2 MiB alignment. P0 label uses 0x4000 oracle granularity; its bootloader mapping is absent.,HIGH,No observation. Retained static artifacts cannot convert fingerprint coverage into a bootloader distribution.
0x068000,YES,UNKNOWN,Stock kernel: nokaslr; generic virtual offset and protocol physical base use 2 MiB alignment. P0 label uses 0x4000 oracle granularity; its bootloader mapping is absent.,HIGH,No observation. Retained static artifacts cannot convert fingerprint coverage into a bootloader distribution.
0x06c000,YES,UNKNOWN,Stock kernel: nokaslr; generic virtual offset and protocol physical base use 2 MiB alignment. P0 label uses 0x4000 oracle granularity; its bootloader mapping is absent.,HIGH,No observation. Retained static artifacts cannot convert fingerprint coverage into a bootloader distribution.
0x070000,YES,UNKNOWN,Stock kernel: nokaslr; generic virtual offset and protocol physical base use 2 MiB alignment. P0 label uses 0x4000 oracle granularity; its bootloader mapping is absent.,HIGH,No observation. Retained static artifacts cannot convert fingerprint coverage into a bootloader distribution.
0x074000,YES,UNKNOWN,Stock kernel: nokaslr; generic virtual offset and protocol physical base use 2 MiB alignment. P0 label uses 0x4000 oracle granularity; its bootloader mapping is absent.,HIGH,No observation. Retained static artifacts cannot convert fingerprint coverage into a bootloader distribution.
0x078000,YES,UNKNOWN,Stock kernel: nokaslr; generic virtual offset and protocol physical base use 2 MiB alignment. P0 label uses 0x4000 oracle granularity; its bootloader mapping is absent.,HIGH,No observation. Retained static artifacts cannot convert fingerprint coverage into a bootloader distribution.
0x07c000,YES,UNKNOWN,Stock kernel: nokaslr; generic virtual offset and protocol physical base use 2 MiB alignment. P0 label uses 0x4000 oracle granularity; its bootloader mapping is absent.,HIGH,No observation. Retained static artifacts cannot convert fingerprint coverage into a bootloader distribution.
0x080000,YES,UNKNOWN,Stock kernel: nokaslr; generic virtual offset and protocol physical base use 2 MiB alignment. P0 label uses 0x4000 oracle granularity; its bootloader mapping is absent.,HIGH,No observation. Retained static artifacts cannot convert fingerprint coverage into a bootloader distribution.
0x084000,YES,UNKNOWN,Stock kernel: nokaslr; generic virtual offset and protocol physical base use 2 MiB alignment. P0 label uses 0x4000 oracle granularity; its bootloader mapping is absent.,HIGH,No observation. Retained static artifacts cannot convert fingerprint coverage into a bootloader distribution.
0x088000,YES,UNKNOWN,Stock kernel: nokaslr; generic virtual offset and protocol physical base use 2 MiB alignment. P0 label uses 0x4000 oracle granularity; its bootloader mapping is absent.,HIGH,No observation. Retained static artifacts cannot convert fingerprint coverage into a bootloader distribution.
0x08c000,YES,UNKNOWN,Stock kernel: nokaslr; generic virtual offset and protocol physical base use 2 MiB alignment. P0 label uses 0x4000 oracle granularity; its bootloader mapping is absent.,HIGH,No observation. Retained static artifacts cannot convert fingerprint coverage into a bootloader distribution.
0x090000,YES,UNKNOWN,Stock kernel: nokaslr; generic virtual offset and protocol physical base use 2 MiB alignment. P0 label uses 0x4000 oracle granularity; its bootloader mapping is absent.,HIGH,No observation. Retained static artifacts cannot convert fingerprint coverage into a bootloader distribution.
0x094000,YES,UNKNOWN,Stock kernel: nokaslr; generic virtual offset and protocol physical base use 2 MiB alignment. P0 label uses 0x4000 oracle granularity; its bootloader mapping is absent.,HIGH,No observation. Retained static artifacts cannot convert fingerprint coverage into a bootloader distribution.
0x098000,YES,UNKNOWN,Stock kernel: nokaslr; generic virtual offset and protocol physical base use 2 MiB alignment. P0 label uses 0x4000 oracle granularity; its bootloader mapping is absent.,HIGH,No observation. Retained static artifacts cannot convert fingerprint coverage into a bootloader distribution.
0x09c000,YES,UNKNOWN,Stock kernel: nokaslr; generic virtual offset and protocol physical base use 2 MiB alignment. P0 label uses 0x4000 oracle granularity; its bootloader mapping is absent.,HIGH,No observation. Retained static artifacts cannot convert fingerprint coverage into a bootloader distribution.
0x0a0000,YES,UNKNOWN,Stock kernel: nokaslr; generic virtual offset and protocol physical base use 2 MiB alignment. P0 label uses 0x4000 oracle granularity; its bootloader mapping is absent.,HIGH,No observation. Retained static artifacts cannot convert fingerprint coverage into a bootloader distribution.
0x0a4000,YES,UNKNOWN,Stock kernel: nokaslr; generic virtual offset and protocol physical base use 2 MiB alignment. P0 label uses 0x4000 oracle granularity; its bootloader mapping is absent.,HIGH,No observation. Retained static artifacts cannot convert fingerprint coverage into a bootloader distribution.
0x0a8000,YES,UNKNOWN,Stock kernel: nokaslr; generic virtual offset and protocol physical base use 2 MiB alignment. P0 label uses 0x4000 oracle granularity; its bootloader mapping is absent.,HIGH,No observation. Retained static artifacts cannot convert fingerprint coverage into a bootloader distribution.
0x0ac000,YES,UNKNOWN,Stock kernel: nokaslr; generic virtual offset and protocol physical base use 2 MiB alignment. P0 label uses 0x4000 oracle granularity; its bootloader mapping is absent.,HIGH,No observation. Retained static artifacts cannot convert fingerprint coverage into a bootloader distribution.
0x0b0000,YES,UNKNOWN,Stock kernel: nokaslr; generic virtual offset and protocol physical base use 2 MiB alignment. P0 label uses 0x4000 oracle granularity; its bootloader mapping is absent.,HIGH,No observation. Retained static artifacts cannot convert fingerprint coverage into a bootloader distribution.
0x0b4000,YES,UNKNOWN,Stock kernel: nokaslr; generic virtual offset and protocol physical base use 2 MiB alignment. P0 label uses 0x4000 oracle granularity; its bootloader mapping is absent.,HIGH,No observation. Retained static artifacts cannot convert fingerprint coverage into a bootloader distribution.
0x0b8000,YES,UNKNOWN,Stock kernel: nokaslr; generic virtual offset and protocol physical base use 2 MiB alignment. P0 label uses 0x4000 oracle granularity; its bootloader mapping is absent.,HIGH,No observation. Retained static artifacts cannot convert fingerprint coverage into a bootloader distribution.
0x0bc000,YES,UNKNOWN,Stock kernel: nokaslr; generic virtual offset and protocol physical base use 2 MiB alignment. P0 label uses 0x4000 oracle granularity; its bootloader mapping is absent.,HIGH,No observation. Retained static artifacts cannot convert fingerprint coverage into a bootloader distribution.
0x0c0000,YES,UNKNOWN,Stock kernel: nokaslr; generic virtual offset and protocol physical base use 2 MiB alignment. P0 label uses 0x4000 oracle granularity; its bootloader mapping is absent.,HIGH,No observation. Retained static artifacts cannot convert fingerprint coverage into a bootloader distribution.
0x0c4000,YES,UNKNOWN,Stock kernel: nokaslr; generic virtual offset and protocol physical base use 2 MiB alignment. P0 label uses 0x4000 oracle granularity; its bootloader mapping is absent.,HIGH,No observation. Retained static artifacts cannot convert fingerprint coverage into a bootloader distribution.
0x0c8000,YES,UNKNOWN,Stock kernel: nokaslr; generic virtual offset and protocol physical base use 2 MiB alignment. P0 label uses 0x4000 oracle granularity; its bootloader mapping is absent.,HIGH,No observation. Retained static artifacts cannot convert fingerprint coverage into a bootloader distribution.
0x0cc000,YES,UNKNOWN,Stock kernel: nokaslr; generic virtual offset and protocol physical base use 2 MiB alignment. P0 label uses 0x4000 oracle granularity; its bootloader mapping is absent.,HIGH,No observation. Retained static artifacts cannot convert fingerprint coverage into a bootloader distribution.
0x0d0000,YES,UNKNOWN,Stock kernel: nokaslr; generic virtual offset and protocol physical base use 2 MiB alignment. P0 label uses 0x4000 oracle granularity; its bootloader mapping is absent.,HIGH,No observation. Retained static artifacts cannot convert fingerprint coverage into a bootloader distribution.
0x0d4000,YES,UNKNOWN,Stock kernel: nokaslr; generic virtual offset and protocol physical base use 2 MiB alignment. P0 label uses 0x4000 oracle granularity; its bootloader mapping is absent.,HIGH,No observation. Retained static artifacts cannot convert fingerprint coverage into a bootloader distribution.
0x0d8000,YES,UNKNOWN,Stock kernel: nokaslr; generic virtual offset and protocol physical base use 2 MiB alignment. P0 label uses 0x4000 oracle granularity; its bootloader mapping is absent.,HIGH,No observation. Retained static artifacts cannot convert fingerprint coverage into a bootloader distribution.
0x0dc000,YES,UNKNOWN,Stock kernel: nokaslr; generic virtual offset and protocol physical base use 2 MiB alignment. P0 label uses 0x4000 oracle granularity; its bootloader mapping is absent.,HIGH,No observation. Retained static artifacts cannot convert fingerprint coverage into a bootloader distribution.
0x0e0000,YES,UNKNOWN,Stock kernel: nokaslr; generic virtual offset and protocol physical base use 2 MiB alignment. P0 label uses 0x4000 oracle granularity; its bootloader mapping is absent.,HIGH,No observation. Retained static artifacts cannot convert fingerprint coverage into a bootloader distribution.
0x0e4000,YES,UNKNOWN,Stock kernel: nokaslr; generic virtual offset and protocol physical base use 2 MiB alignment. P0 label uses 0x4000 oracle granularity; its bootloader mapping is absent.,HIGH,No observation. Retained static artifacts cannot convert fingerprint coverage into a bootloader distribution.
0x0e8000,YES,UNKNOWN,Stock kernel: nokaslr; generic virtual offset and protocol physical base use 2 MiB alignment. P0 label uses 0x4000 oracle granularity; its bootloader mapping is absent.,HIGH,No observation. Retained static artifacts cannot convert fingerprint coverage into a bootloader distribution.
0x0ec000,YES,UNKNOWN,Stock kernel: nokaslr; generic virtual offset and protocol physical base use 2 MiB alignment. P0 label uses 0x4000 oracle granularity; its bootloader mapping is absent.,HIGH,No observation. Retained static artifacts cannot convert fingerprint coverage into a bootloader distribution.
0x0f0000,YES,UNKNOWN,Stock kernel: nokaslr; generic virtual offset and protocol physical base use 2 MiB alignment. P0 label uses 0x4000 oracle granularity; its bootloader mapping is absent.,HIGH,No observation. Retained static artifacts cannot convert fingerprint coverage into a bootloader distribution.
0x0f4000,YES,UNKNOWN,Stock kernel: nokaslr; generic virtual offset and protocol physical base use 2 MiB alignment. P0 label uses 0x4000 oracle granularity; its bootloader mapping is absent.,HIGH,No observation. Retained static artifacts cannot convert fingerprint coverage into a bootloader distribution.
0x0f8000,YES,UNKNOWN,Stock kernel: nokaslr; generic virtual offset and protocol physical base use 2 MiB alignment. P0 label uses 0x4000 oracle granularity; its bootloader mapping is absent.,HIGH,No observation. Retained static artifacts cannot convert fingerprint coverage into a bootloader distribution.
0x0fc000,YES,UNKNOWN,Stock kernel: nokaslr; generic virtual offset and protocol physical base use 2 MiB alignment. P0 label uses 0x4000 oracle granularity; its bootloader mapping is absent.,HIGH,No observation. Retained static artifacts cannot convert fingerprint coverage into a bootloader distribution.
0x100000,YES,UNKNOWN,Stock kernel: nokaslr; generic virtual offset and protocol physical base use 2 MiB alignment. P0 label uses 0x4000 oracle granularity; its bootloader mapping is absent.,HIGH,No observation. Retained static artifacts cannot convert fingerprint coverage into a bootloader distribution.
0x104000,YES,UNKNOWN,Stock kernel: nokaslr; generic virtual offset and protocol physical base use 2 MiB alignment. P0 label uses 0x4000 oracle granularity; its bootloader mapping is absent.,HIGH,No observation. Retained static artifacts cannot convert fingerprint coverage into a bootloader distribution.
0x108000,YES,UNKNOWN,Stock kernel: nokaslr; generic virtual offset and protocol physical base use 2 MiB alignment. P0 label uses 0x4000 oracle granularity; its bootloader mapping is absent.,HIGH,No observation. Retained static artifacts cannot convert fingerprint coverage into a bootloader distribution.
0x10c000,YES,UNKNOWN,Stock kernel: nokaslr; generic virtual offset and protocol physical base use 2 MiB alignment. P0 label uses 0x4000 oracle granularity; its bootloader mapping is absent.,HIGH,No observation. Retained static artifacts cannot convert fingerprint coverage into a bootloader distribution.
0x110000,YES,UNKNOWN,Stock kernel: nokaslr; generic virtual offset and protocol physical base use 2 MiB alignment. P0 label uses 0x4000 oracle granularity; its bootloader mapping is absent.,HIGH,No observation. Retained static artifacts cannot convert fingerprint coverage into a bootloader distribution.
0x114000,YES,UNKNOWN,Stock kernel: nokaslr; generic virtual offset and protocol physical base use 2 MiB alignment. P0 label uses 0x4000 oracle granularity; its bootloader mapping is absent.,HIGH,No observation. Retained static artifacts cannot convert fingerprint coverage into a bootloader distribution.
0x118000,YES,UNKNOWN,Stock kernel: nokaslr; generic virtual offset and protocol physical base use 2 MiB alignment. P0 label uses 0x4000 oracle granularity; its bootloader mapping is absent.,HIGH,No observation. Retained static artifacts cannot convert fingerprint coverage into a bootloader distribution.
0x11c000,YES,UNKNOWN,Stock kernel: nokaslr; generic virtual offset and protocol physical base use 2 MiB alignment. P0 label uses 0x4000 oracle granularity; its bootloader mapping is absent.,HIGH,No observation. Retained static artifacts cannot convert fingerprint coverage into a bootloader distribution.
0x120000,YES,UNKNOWN,Stock kernel: nokaslr; generic virtual offset and protocol physical base use 2 MiB alignment. P0 label uses 0x4000 oracle granularity; its bootloader mapping is absent.,HIGH,No observation. Retained static artifacts cannot convert fingerprint coverage into a bootloader distribution.
0x124000,YES,UNKNOWN,Stock kernel: nokaslr; generic virtual offset and protocol physical base use 2 MiB alignment. P0 label uses 0x4000 oracle granularity; its bootloader mapping is absent.,HIGH,No observation. Retained static artifacts cannot convert fingerprint coverage into a bootloader distribution.
0x128000,YES,UNKNOWN,Stock kernel: nokaslr; generic virtual offset and protocol physical base use 2 MiB alignment. P0 label uses 0x4000 oracle granularity; its bootloader mapping is absent.,HIGH,No observation. Retained static artifacts cannot convert fingerprint coverage into a bootloader distribution.
0x12c000,YES,UNKNOWN,Stock kernel: nokaslr; generic virtual offset and protocol physical base use 2 MiB alignment. P0 label uses 0x4000 oracle granularity; its bootloader mapping is absent.,HIGH,No observation. Retained static artifacts cannot convert fingerprint coverage into a bootloader distribution.
0x130000,YES,UNKNOWN,Stock kernel: nokaslr; generic virtual offset and protocol physical base use 2 MiB alignment. P0 label uses 0x4000 oracle granularity; its bootloader mapping is absent.,HIGH,No observation. Retained static artifacts cannot convert fingerprint coverage into a bootloader distribution.
0x134000,YES,UNKNOWN,Stock kernel: nokaslr; generic virtual offset and protocol physical base use 2 MiB alignment. P0 label uses 0x4000 oracle granularity; its bootloader mapping is absent.,HIGH,No observation. Retained static artifacts cannot convert fingerprint coverage into a bootloader distribution.
0x138000,YES,UNKNOWN,Stock kernel: nokaslr; generic virtual offset and protocol physical base use 2 MiB alignment. P0 label uses 0x4000 oracle granularity; its bootloader mapping is absent.,HIGH,No observation. Retained static artifacts cannot convert fingerprint coverage into a bootloader distribution.
0x13c000,YES,UNKNOWN,Stock kernel: nokaslr; generic virtual offset and protocol physical base use 2 MiB alignment. P0 label uses 0x4000 oracle granularity; its bootloader mapping is absent.,HIGH,No observation. Retained static artifacts cannot convert fingerprint coverage into a bootloader distribution.
0x140000,YES,UNKNOWN,Stock kernel: nokaslr; generic virtual offset and protocol physical base use 2 MiB alignment. P0 label uses 0x4000 oracle granularity; its bootloader mapping is absent.,HIGH,No observation. Retained static artifacts cannot convert fingerprint coverage into a bootloader distribution.
0x144000,YES,UNKNOWN,Stock kernel: nokaslr; generic virtual offset and protocol physical base use 2 MiB alignment. P0 label uses 0x4000 oracle granularity; its bootloader mapping is absent.,HIGH,No observation. Retained static artifacts cannot convert fingerprint coverage into a bootloader distribution.
0x148000,YES,UNKNOWN,Stock kernel: nokaslr; generic virtual offset and protocol physical base use 2 MiB alignment. P0 label uses 0x4000 oracle granularity; its bootloader mapping is absent.,HIGH,No observation. Retained static artifacts cannot convert fingerprint coverage into a bootloader distribution.
0x14c000,YES,UNKNOWN,Stock kernel: nokaslr; generic virtual offset and protocol physical base use 2 MiB alignment. P0 label uses 0x4000 oracle granularity; its bootloader mapping is absent.,HIGH,No observation. Retained static artifacts cannot convert fingerprint coverage into a bootloader distribution.
0x150000,YES,UNKNOWN,Stock kernel: nokaslr; generic virtual offset and protocol physical base use 2 MiB alignment. P0 label uses 0x4000 oracle granularity; its bootloader mapping is absent.,HIGH,No observation. Retained static artifacts cannot convert fingerprint coverage into a bootloader distribution.
0x154000,YES,UNKNOWN,Stock kernel: nokaslr; generic virtual offset and protocol physical base use 2 MiB alignment. P0 label uses 0x4000 oracle granularity; its bootloader mapping is absent.,HIGH,No observation. Retained static artifacts cannot convert fingerprint coverage into a bootloader distribution.
0x158000,YES,UNKNOWN,Stock kernel: nokaslr; generic virtual offset and protocol physical base use 2 MiB alignment. P0 label uses 0x4000 oracle granularity; its bootloader mapping is absent.,HIGH,No observation. Retained static artifacts cannot convert fingerprint coverage into a bootloader distribution.
0x15c000,YES,UNKNOWN,Stock kernel: nokaslr; generic virtual offset and protocol physical base use 2 MiB alignment. P0 label uses 0x4000 oracle granularity; its bootloader mapping is absent.,HIGH,No observation. Retained static artifacts cannot convert fingerprint coverage into a bootloader distribution.
0x160000,YES,UNKNOWN,Stock kernel: nokaslr; generic virtual offset and protocol physical base use 2 MiB alignment. P0 label uses 0x4000 oracle granularity; its bootloader mapping is absent.,HIGH,No observation. Retained static artifacts cannot convert fingerprint coverage into a bootloader distribution.
0x164000,YES,UNKNOWN,Stock kernel: nokaslr; generic virtual offset and protocol physical base use 2 MiB alignment. P0 label uses 0x4000 oracle granularity; its bootloader mapping is absent.,HIGH,No observation. Retained static artifacts cannot convert fingerprint coverage into a bootloader distribution.
0x168000,YES,UNKNOWN,Stock kernel: nokaslr; generic virtual offset and protocol physical base use 2 MiB alignment. P0 label uses 0x4000 oracle granularity; its bootloader mapping is absent.,HIGH,No observation. Retained static artifacts cannot convert fingerprint coverage into a bootloader distribution.
0x16c000,YES,UNKNOWN,Stock kernel: nokaslr; generic virtual offset and protocol physical base use 2 MiB alignment. P0 label uses 0x4000 oracle granularity; its bootloader mapping is absent.,HIGH,No observation. Retained static artifacts cannot convert fingerprint coverage into a bootloader distribution.
0x170000,YES,UNKNOWN,Stock kernel: nokaslr; generic virtual offset and protocol physical base use 2 MiB alignment. P0 label uses 0x4000 oracle granularity; its bootloader mapping is absent.,HIGH,No observation. Retained static artifacts cannot convert fingerprint coverage into a bootloader distribution.
0x174000,YES,UNKNOWN,Stock kernel: nokaslr; generic virtual offset and protocol physical base use 2 MiB alignment. P0 label uses 0x4000 oracle granularity; its bootloader mapping is absent.,HIGH,No observation. Retained static artifacts cannot convert fingerprint coverage into a bootloader distribution.
0x178000,YES,UNKNOWN,Stock kernel: nokaslr; generic virtual offset and protocol physical base use 2 MiB alignment. P0 label uses 0x4000 oracle granularity; its bootloader mapping is absent.,HIGH,No observation. Retained static artifacts cannot convert fingerprint coverage into a bootloader distribution.
0x17c000,YES,UNKNOWN,Stock kernel: nokaslr; generic virtual offset and protocol physical base use 2 MiB alignment. P0 label uses 0x4000 oracle granularity; its bootloader mapping is absent.,HIGH,No observation. Retained static artifacts cannot convert fingerprint coverage into a bootloader distribution.
0x180000,YES,UNKNOWN,Stock kernel: nokaslr; generic virtual offset and protocol physical base use 2 MiB alignment. P0 label uses 0x4000 oracle granularity; its bootloader mapping is absent.,HIGH,No observation. Retained static artifacts cannot convert fingerprint coverage into a bootloader distribution.
0x184000,YES,UNKNOWN,Stock kernel: nokaslr; generic virtual offset and protocol physical base use 2 MiB alignment. P0 label uses 0x4000 oracle granularity; its bootloader mapping is absent.,HIGH,No observation. Retained static artifacts cannot convert fingerprint coverage into a bootloader distribution.
0x188000,YES,UNKNOWN,Stock kernel: nokaslr; generic virtual offset and protocol physical base use 2 MiB alignment. P0 label uses 0x4000 oracle granularity; its bootloader mapping is absent.,HIGH,No observation. Retained static artifacts cannot convert fingerprint coverage into a bootloader distribution.
0x18c000,YES,UNKNOWN,Stock kernel: nokaslr; generic virtual offset and protocol physical base use 2 MiB alignment. P0 label uses 0x4000 oracle granularity; its bootloader mapping is absent.,HIGH,No observation. Retained static artifacts cannot convert fingerprint coverage into a bootloader distribution.
0x190000,YES,UNKNOWN,Stock kernel: nokaslr; generic virtual offset and protocol physical base use 2 MiB alignment. P0 label uses 0x4000 oracle granularity; its bootloader mapping is absent.,HIGH,No observation. Retained static artifacts cannot convert fingerprint coverage into a bootloader distribution.
0x194000,YES,UNKNOWN,Stock kernel: nokaslr; generic virtual offset and protocol physical base use 2 MiB alignment. P0 label uses 0x4000 oracle granularity; its bootloader mapping is absent.,HIGH,No observation. Retained static artifacts cannot convert fingerprint coverage into a bootloader distribution.
0x198000,YES,UNKNOWN,Stock kernel: nokaslr; generic virtual offset and protocol physical base use 2 MiB alignment. P0 label uses 0x4000 oracle granularity; its bootloader mapping is absent.,HIGH,No observation. Retained static artifacts cannot convert fingerprint coverage into a bootloader distribution.
0x19c000,YES,UNKNOWN,Stock kernel: nokaslr; generic virtual offset and protocol physical base use 2 MiB alignment. P0 label uses 0x4000 oracle granularity; its bootloader mapping is absent.,HIGH,No observation. Retained static artifacts cannot convert fingerprint coverage into a bootloader distribution.
0x1a0000,YES,UNKNOWN,Stock kernel: nokaslr; generic virtual offset and protocol physical base use 2 MiB alignment. P0 label uses 0x4000 oracle granularity; its bootloader mapping is absent.,HIGH,No observation. Retained static artifacts cannot convert fingerprint coverage into a bootloader distribution.
0x1a4000,YES,UNKNOWN,Stock kernel: nokaslr; generic virtual offset and protocol physical base use 2 MiB alignment. P0 label uses 0x4000 oracle granularity; its bootloader mapping is absent.,HIGH,No observation. Retained static artifacts cannot convert fingerprint coverage into a bootloader distribution.
0x1a8000,YES,UNKNOWN,Stock kernel: nokaslr; generic virtual offset and protocol physical base use 2 MiB alignment. P0 label uses 0x4000 oracle granularity; its bootloader mapping is absent.,HIGH,No observation. Retained static artifacts cannot convert fingerprint coverage into a bootloader distribution.
0x1ac000,YES,UNKNOWN,Stock kernel: nokaslr; generic virtual offset and protocol physical base use 2 MiB alignment. P0 label uses 0x4000 oracle granularity; its bootloader mapping is absent.,HIGH,No observation. Retained static artifacts cannot convert fingerprint coverage into a bootloader distribution.
