finding_id,severity,domain,title,description,affected_files,evidence,impact,recommended_fix,blocking_j3,blocking_l3,status
F-011,S0,H,P0 collision analysis correctly identifies 3+1 collisions and preserves uncertainty,"p0_collision_analysis.md identifies exact collision at 0x1e4000 0x1e8000 0x1ec000 (NOP-density pages) and borderline at 0x1f0000 (image header). Reachability is correctly classified as INSUFFICIENT_EVIDENCE. CANONICAL_STATUS.md says 'REACHABILITY_UNKNOWN'. No accidental stronger claims found in these documents.",docs/rmg-eze4/p0_collision_analysis.md;docs/rmg-eze4/CANONICAL_STATUS.md;docs/rmg-eze4/kaslr_selection_analysis.md,"Collision root-cause: pages at Image offsets 0x004000-0x00c000 are pure NOP padding (0xd503201fd503201f). kaslr_selection_analysis.md §Collision slides table marks all four INSUFFICIENT_EVIDENCE.",None — correctly handled,None needed,NO,NO,RESOLVED
F-012,S0,I,P0 loader mapping consistently OPEN,"CANONICAL_STATUS.md: 'KASLR_LOADER_MAPPING_STATUS: OPEN'. PHASE_G.md: 'P0_LOADER_MAPPING_STATUS: OPEN'. kaslr_selection_analysis.md §Bootloader knowledge boundary: 'OPEN'. No accidental claim of resolution found.",docs/rmg-eze4/CANONICAL_STATUS.md;docs/rmg-eze4/PHASE_G.md;docs/rmg-eze4/kaslr_selection_analysis.md,Consistent across all three sources,None — correctly handled,None needed,NO,NO,RESOLVED
F-013,S0,J,Phase G raw baseline independently confirmed,"Raw evidence files 01-06 contain ADB property/uname outputs with return_status=0. Values match canonical identity exactly: SM-X510 gts9fewifi X510XXUCEZE4 samsung/gts9fewifieea/... 2026-05-05 5.15.189-android13-3-33478785",docs/rmg-eze4/runtime-evidence/20260906T094426Z/raw/01-06*.txt,"Direct file read confirms all six identity values match canonical constants in validator.py, schema, and CANONICAL_STATUS.md",None — correctly handled,None needed,NO,NO,RESOLVED
F-014,S0,K,46 raw files and 46 hashes independently confirmed,"ls raw/ = 46 files. evidence_sha256.txt = 46 lines all referencing raw/ paths. Count matches project claim.",docs/rmg-eze4/runtime-evidence/20260906T094426Z/,Verified by independent file count and line count,None — correctly handled,None needed,NO,NO,RESOLVED
F-015,S1,L,G2 independence is MODERATE not STRONG,"CODEX_PHASE_G_INDEPENDENT_REVIEW.md L5 states 'Phase G and its generated analysis files were consulted only after the independent findings below had been established.' However the reviewer was the same AI system (Codex) that produced Phase G. It read the same repository. True independence would require a different analyst with isolated evidence. Classification: MODERATE — independent re-derivation from raw, but same analyst and same repository context.",docs/rmg-eze4/CODEX_PHASE_G_INDEPENDENT_REVIEW.md,"L5: reviewer accessed same repo; reviewer is same system that produced Phase G. Confirmation bias mitigation: raw-first methodology claimed, but no structural isolation.",Documentation quality. Findings are self-consistent but could share systematic biases.,Acknowledge G2 as same-system re-derivation with MODERATE independence,NO,NO,OPEN
F-016,S2,P,Consistency checker §13 Protected Parameters is a no-op,"check_consistency.py L312-313: 'for p in PROTECTED_PARAMETERS: pass'. The protected parameter check does nothing. PROTECTED_PARAMETERS list exists (L36-43) with 6 entries including SLIDE_KSNITCH_APPENDED_FUTEXES but the loop body is empty.",tools/rmg-eze4/analysis/check_consistency.py,"L312-313: literal 'pass' in loop body. No assertion, no check. Six protected parameters unchecked.",The checker reports PASS but does not actually verify anything about the 5+1 must-validate parameters. This is a blind spot.,Implement actual checks: verify no test/experiment claims static compatibility for these parameters,YES,NO,OPEN
F-017,S1,P,Validator headroom constant 2200.0 is inline rather than imported,"validator.py L180: 'expected_headroom = 2200.0 - expected_duration_sec'. The 2200 is a magic number inline rather than using a named constant. Same constant appears in L303 and L311.",tools/rmg-eze4/analysis/validator.py,"L180, L303, L311: literal 2200.0 / 2200.000",Maintenance risk if threshold changes. Currently correct but manually duplicated.,Extract to named constant CANONICAL_OVERALL_TIMEOUT_SEC = 2200,NO,NO,OPEN
F-018,S1,P,Validator headroom threshold 2195 is inline,"validator.py L303: 'if expected_duration_sec > 2195.000'. The 2195 headroom boundary is inline rather than a named constant.",tools/rmg-eze4/analysis/validator.py,L303: literal 2195.000,Same as F-017 — maintenance risk,Extract to named constant CANONICAL_HEADROOM_BOUNDARY_SEC = 2195,NO,NO,OPEN
F-019,S2,Y,Self-confirming test risk in replay generator,"test_phase_j2_1_r1_replay.py generates trial records using the same constants (2200, 2195, identity values) that validator.py uses to check them. If both share the same wrong constant, tests pass but validation would fail on real data. This is partially mitigated by check_consistency.py cross-checking against schema, but check_consistency itself shares the same constants.",tools/rmg-eze4/tests/test_phase_j2_1_r1_replay.py;tools/rmg-eze4/analysis/validator.py;tools/rmg-eze4/analysis/check_consistency.py,"check_consistency.py L24-34 defines same canonical constants as validator.py L23-30. Test fixtures import from test modules that also define these constants. No independent oracle exists outside this constant-sharing boundary.",An error-canceling scenario is possible where wrong-constant+wrong-constant=PASS. Partially mitigated by schema JSON using 'const' keyword which is a separate artifact.,Add at least one test that loads canonical values from an independent source (e.g. raw evidence files or the schema JSON itself) rather than Python constants,YES,NO,OPEN
F-020,S1,S,BUILD_FINGERPRINT in target_readiness_v2.csv uses 'gts9fewifixx' for ZG3 but physical device shows 'gts9fewifieea',"eze4_target_readiness_v2.csv L6: ZG3_VALUE shows 'samsung/gts9fewifixx/...' while EZE4 physical device shows 'samsung/gts9fewifieea/...'. The 'xx' vs 'eea' is the CSC/region segment. This is correctly marked NOT_APPLICABLE status but the ZG3 value documents a different region variant.",docs/rmg-eze4/eze4_target_readiness_v2.csv,"L6: ZG3='gts9fewifixx' EZE4='gts9fewifieea'. Status=NOT_APPLICABLE, which is correct since BUILD_FINGERPRINT is not a target parameter.",Informational — different CSC regions between reference firmware and physical unit. Correctly handled as NOT_APPLICABLE.,None needed — correctly handled as NOT_APPLICABLE,NO,NO,RESOLVED
F-021,S0,S,J2 semantic regression guards all pass in R1.1,"PHASE_J2_1_R1_1.md §6 explicitly confirms: slide_ready reset=NO, epoch=POST_FORK, single timeout≠INCOMPATIBLE, incompatibility=>=3 same-condition across >=2 boots, invalid caps=<=1/boot <=2 total. All match §25 claims.",docs/rmg-eze4/PHASE_J2_1_R1_1.md,L86-91: all six regression guards explicitly confirmed in canonical document,None — correctly handled,None needed,NO,NO,RESOLVED
F-022,S0,T,E4 aggregator correctly enforces partition structure,"aggregator.py implements: >=3 boots (L93), both conditions per boot (L100-106), >=2 valid per cell (L108-120), min 12 total (L123), invalid caps <=1/boot <=2 total (L60-71), incompatibility >=3 same-condition >=2 boots (L81-89). All match E4 contract.",tools/rmg-eze4/analysis/aggregator.py;docs/rmg-eze4/phase_j2_e4_contract.md,Code-to-contract comparison: all thresholds match,None — correctly handled,None needed,NO,NO,RESOLVED
F-023,S0,U,Identity model uses exact physical values with no stale competing identities in active contracts,"check_consistency.py §9 (L253-260) searches active phase_j2_* files for stale 'UP1A' fingerprint. Schema v2.2.1 uses const strings for all identity fields. Validator.py hardcodes exact canonical values. No stale identities found in active contract files.",tools/rmg-eze4/analysis/check_consistency.py;tools/rmg-eze4/analysis/validator.py;docs/rmg-eze4/phase_j2_observation_schema_v2.json,"check_consistency.py L253-260: checks for stale UP1A. Schema uses 'const' for identity. Validator uses exact match.",None — correctly handled,None needed,NO,NO,RESOLVED
F-024,S0,V,Schema v2.2.1 covers all verdict-relevant event fields,"Schema requires 16 root fields, artifact_identity with 9 sub-fields (all const-bound), condition_vector with 9 fields, timing_metrics with 9 fields, state_transitions array, confounder_observations, classification. Validator checks all fields used by aggregator (trial_validity, trial_evidence_vote, trial_terminal_class, boot_id, condition_class).",docs/rmg-eze4/phase_j2_observation_schema_v2.json;tools/rmg-eze4/analysis/validator.py,"Schema additionalProperties=false prevents field leakage. All verdict-relevant paths traced from aggregator back to schema fields.",None — correctly handled,None needed,NO,NO,RESOLVED
F-025,S2,X,Confounder C2/C3 detector feasibility on stock Android is unverified,"Confounder detectors C2 (cgroup freezer) and C3 (thermal throttling) require access to sysfs paths or /proc entries. On stock unprivileged Android with SELinux, these may be blocked. No feasibility test has been performed on the physical device. Current classification: UNKNOWN.",docs/rmg-eze4/phase_j2_confounders.csv;docs/rmg-eze4/j1_timeout_confounders.md,"No raw evidence file tests /sys/fs/cgroup or /sys/class/thermal access. Phase G tested /proc/cmdline (denied) and /proc/bootconfig (denied) but not confounder sysfs paths.",If C2/C3 detectors cannot run, all trials would have UNKNOWN confounder status and validator would mark them INCONCLUSIVE (not VALID). This would make E4 compatibility verdict unreachable.,Document confounder detector access requirements and test feasibility on stock device before J3,YES,NO,OPEN
F-026,S0,Q,DEFAULT_ATTEMPT_TIMEOUT_SEC correctly selected as first candidate,"phase_j0_first_wave.md and phase_j0_candidate_matrix.csv document selection rationale: P0-independent, dependency-closed, policy-only (RETRY_POLICY), high attribution, TIMEOUT failure semantics (safe abort not PATH_FAILURE).",docs/rmg-eze4/phase_j0_first_wave.md;docs/rmg-eze4/phase_j0_candidate_matrix.csv,Selection criteria documented and consistent with runtime_parameter_criticality.csv,None — correctly handled,None needed,NO,NO,RESOLVED
F-027,S1,R,J1 timeout epoch invariant confirmed in source and implementation,"validator.py L162-174: epoch = post_fork_monotonic_ns, duration = terminal - post_fork. L180: headroom = 2200.0 - duration. No slide_ready reset of epoch found anywhere. j1_timeout_semantics.md confirms epoch = parent post-fork CLOCK_MONOTONIC sample.",docs/rmg-eze4/j1_timeout_semantics.md;tools/rmg-eze4/analysis/validator.py,"Validator uses post_fork_monotonic_ns as sole epoch. slide_ready_monotonic_ns is recorded but does not affect duration calculation.",None — correctly handled,None needed,NO,NO,RESOLVED
F-028,S1,Z,Consistency checker blind spots identified,"check_consistency.py checks: schema version, grammar version, identity constants (7 values), candidate identity, go gates (G02-G05 G12-G15), validator constants, test fixture identities, runtime identity contract, preexecution matrix, R1 report, stale fingerprints, decision table, E4 contract, clock model. BLIND SPOTS: (1) Protected parameter check is no-op (F-016). (2) Does not verify aggregator thresholds match E4 contract constants. (3) Does not verify p0_fingerprint_EZE4.generated.h against Image.stock. (4) Does not verify struct layout CSV row count.",tools/rmg-eze4/analysis/check_consistency.py,"Coverage analysis: 13 sections, ~50 individual checks. Blind spots listed.",Moderate — checker is thorough for identity and contract consistency but misses some cross-artifact validations,Add aggregator threshold assertion and protected parameter validation,NO,NO,OPEN
